Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Sun Pharma. Inds.	-13850.51295	512.4124499	-12006582.57	-2.692378391	-175254.0488	148.2607837	-1299908.648	47.84453013	-139.9610569	-546299.3942
Tata Motors	-13872.36286	513.0427645	-12023306.5	-2.697607683	-175496.2798	148.4291347	-1301710.079	47.88863818	-140.1768864	-547057.1292
NTPC	-13894.21277	513.673079	-12040030.44	-2.702836975	-175738.5107	148.5974857	-1303511.51	47.93274622	-140.392716	-547814.8641
ONGC	-13916.06268	514.3033935	-12056754.38	-2.708066267	-175980.7416	148.7658367	-1305312.941	47.97685426	-140.6085455	-548572.599
Kotak Mahindra Bank	-13937.9126	514.933708	-12073478.32	-2.713295558	-176222.9726	148.9341878	-1307114.372	48.0209623	-140.824375	-549330.3339
Avenue Supermarts	-13959.76251	515.5640226	-12090202.25	-2.71852485	-176465.2035	149.1025388	-1308915.803	48.06507035	-141.0402046	-550088.0688
UltraTech Cement	-13981.61242	516.1943371	-12106926.19	-2.723754142	-176707.4345	149.2708898	-1310717.234	48.10917839	-141.2560341	-550845.8037
Titan Company	-14003.46233	516.8246516	-12123650.13	-2.728983433	-176949.6654	149.4392408	-1312518.665	48.15328643	-141.4718636	-551603.5387
Adani Ports	-14025.31224	517.4549661	-12140374.07	-2.734212725	-177191.8963	149.6075918	-1314320.097	48.19739448	-141.6876932	-552361.2736
Power Grid Corporation	-14047.16215	518.0852807	-12157098	-2.739442017	-177434.1273	149.7759429	-1316121.528	48.24150252	-141.9035227	-553119.0085
Coal India	-14069.01206	518.7155952	-12173821.94	-2.744671309	-177676.3582	149.9442939	-1317922.959	48.28561056	-142.1193522	-553876.7434
Tata Steel	-14090.86197	519.3459097	-12190545.88	-2.7499006	-177918.5891	150.1126449	-1319724.39	48.32971861	-142.3351818	-554634.4783
JSW Steel	-14112.71188	519.9762242	-12207269.82	-2.755129892	-178160.8201	150.2809959	-1321525.821	48.37382665	-142.5510113	-555392.2132
HDFC Life Insurance	-14134.5618	520.6065388	-12223993.75	-2.760359184	-178403.051	150.4493469	-1323327.252	48.41793469	-142.7668408	-556149.9481
Tech Mahindra	-14156.41171	521.2368533	-12240717.69	-2.765588475	-178645.282	150.617698	-1325128.683	48.46204274	-142.9826703	-556907.6831
SBI Life Insurance	-14178.26162	521.8671678	-12257441.63	-2.770817767	-178887.5129	150.786049	-1326930.114	48.50615078	-143.1984999	-557665.418
Grasim Industries	-14200.11153	522.4974824	-12274165.57	-2.776047059	-179129.7438	150.9544	-1328731.545	48.55025882	-143.4143294	-558423.1529
Wipro	-14221.96144	523.1277969	-12290889.51	-2.781276351	-179371.9748	151.122751	-1330532.976	48.59436687	-143.6301589	-559180.8878
Divi's Laboratories	-14243.81135	523.7581114	-12307613.44	-2.786505642	-179614.2057	151.291102	-1332334.407	48.63847491	-143.8459885	-559938.6227
Hero MotoCorp	-14265.66126	524.3884259	-12324337.38	-2.791734934	-179856.4367	151.4594531	-1334135.838	48.68258295	-144.061818	-560696.3576
Cipla	-14287.51117	525.0187405	-12341061.32	-2.796964226	-180098.6676	151.6278041	-1335937.269	48.726691	-144.2776475	-561454.0926
Britannia Industries	-14309.36109	525.649055	-12357785.26	-2.802193517	-180340.8985	151.7961551	-1337738.7	48.77079904	-144.4934771	-562211.8275
Dabur India	-14331.211	526.2793695	-12374509.19	-2.807422809	-180583.1295	151.9645061	-1339540.131	48.81490708	-144.7093066	-562969.5624
Adani Green Energy	-14353.06091	526.909684	-12391233.13	-2.812652101	-180825.3604	152.1328571	-1341341.562	48.85901513	-144.9251361	-563727.2973
SBI Cards & Payment	-14374.91082	527.5399986	-12407957.07	-2.817881393	-181067.5913	152.3012082	-1343142.993	48.90312317	-145.1409657	-564485.0322
Bajaj Finserv	-14396.76073	528.1703131	-12424681.01	-2.823110684	-181309.8223	152.4695592	-1344944.425	48.94723121	-145.3567952	-565242.7671
Ambuja Cements	-14418.61064	528.8006276	-12441404.94	-2.828339976	-181552.0532	152.6379102	-1346745.856	48.99133926	-145.5726247	-566000.5021
Dr. Reddy's Lab	-14440.46055	529.4309421	-12458128.88	-2.833569268	-181794.2842	152.8062612	-1348547.287	49.0354473	-145.7884543	-566758.237
Vedanta	-14462.31046	530.0612567	-12474852.82	-2.838798559	-182036.5151	152.9746122	-1350348.718	49.07955534	-146.0042838	-567515.9719
Apollo Hospitals	-14484.16037	530.6915712	-12491576.76	-2.844027851	-182278.746	153.1429633	-1352150.149	49.12366339	-146.2201133	-568273.7068
Bank of Baroda	-14506.01029	531.3218857	-12508300.7	-2.849257143	-182520.977	153.3113143	-1353951.58	49.16777143	-146.4359429	-569031.4417
Eicher Motors	-14527.8602	531.9522002	-12525024.63	-2.854486435	-182763.2079	153.4796653	-1355753.011	49.21187947	-146.6517724	-569789.1766
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	-14549.71011	532.5825148	-12541748.57	-2.859715726	-183005.4388	153.6480163	-1357554.442	49.25598752	-146.8676019	-570546.9115
TCS	-14571.56002	533.2128293	-12558472.51	-2.864945018	-183247.6698	153.8163673	-1359355.873	49.30009556	-147.0834315	-571304.6465
HDFC Bank	-14593.40993	533.8431438	-12575196.45	-2.87017431	-183489.9007	153.9847184	-1361157.304	49.3442036	-147.299261	-572062.3814
Bharti Airtel	-14615.25984	534.4734583	-12591920.38	-2.875403601	-183732.1317	154.1530694	-1362958.735	49.38831164	-147.5150905	-572820.1163
ICICI Bank	-14637.10975	535.1037729	-12608644.32	-2.880632893	-183974.3626	154.3214204	-1364760.166	49.43241969	-147.73092	-573577.8512
St Bk of India	-14658.95966	535.7340874	-12625368.26	-2.885862185	-184216.5935	154.4897714	-1366561.597	49.47652773	-147.9467496	-574335.5861
Life Insurance	-14680.80958	536.3644019	-12642092.2	-2.891091477	-184458.8245	154.6581224	-1368363.028	49.52063577	-148.1625791	-575093.321
Infosys	-14702.65949	536.9947164	-12658816.13	-2.896320768	-184701.0554	154.8264735	-1370164.459	49.56474382	-148.3784086	-575851.056
Hind. Unilever	-14724.5094	537.625031	-12675540.07	-2.90155006	-184943.2864	154.9948245	-1371965.89	49.60885186	-148.5942382	-576608.7909
ITC	-14746.35931	538.2553455	-12692264.01	-2.906779352	-185185.5173	155.1631755	-1373767.321	49.6529599	-148.8100677	-577366.5258
Larsen & Toubro	-14768.20922	538.88566	-12708987.95	-2.912008643	-185427.7482	155.3315265	-1375568.753	49.69706795	-149.0258972	-578124.2607
Bajaj Finance	-14790.05913	539.5159745	-12725711.89	-2.917237935	-185669.9792	155.4998776	-1377370.184	49.74117599	-149.2417268	-578881.9956
Maruti Suzuki	-14811.90904	540.1462891	-12742435.82	-2.922467227	-185912.2101	155.6682286	-1379171.615	49.78528403	-149.4575563	-579639.7305
HCL Technologies	-14833.75895	540.7766036	-12759159.76	-2.927696519	-186154.441	155.8365796	-1380973.046	49.82939208	-149.6733858	-580397.4655
Adani Enterprises	-14855.60886	541.4069181	-12775883.7	-2.93292581	-186396.672	156.0049306	-1382774.477	49.87350012	-149.8892154	-581155.2004
Hindustan Aeronautics	-14877.45878	542.0372327	-12792607.64	-2.938155102	-186638.9029	156.1732816	-1384575.908	49.91760816	-150.1050449	-581912.9353
M & M	-14899.30869	542.6675472	-12809331.57	-2.943384394	-186881.1339	156.3416327	-1386377.339	49.96171621	-150.3208744	-582670.6702
Axis Bank	-14921.1586	543.2978617	-12826055.51	-2.948613685	-187123.3648	156.5099837	-1388178.77	50.00582425	-150.536704	-583428.4051
Sun Pharma. Inds.	-14943.00851	543.9281762	-12842779.45	-2.953842977	-187365.5957	156.6783347	-1389980.201	50.04993229	-150.7525335	-584186.14
Tata Motors	-14964.85842	544.5584908	-12859503.39	-2.959072269	-187607.8267	156.8466857	-1391781.632	50.09404034	-150.968363	-584943.8749
NTPC	-14986.70833	545.1888053	-12876227.32	-2.964301561	-187850.0576	157.0150367	-1393583.063	50.13814838	-151.1841926	-585701.6099
ONGC	-15008.55824	545.8191198	-12892951.26	-2.969530852	-188092.2886	157.1833878	-1395384.494	50.18225642	-151.4000221	-586459.3448
Kotak Mahindra Bank	-15030.40815	546.4494343	-12909675.2	-2.974760144	-188334.5195	157.3517388	-1397185.925	50.22636447	-151.6158516	-587217.0797
Avenue Supermarts	-15052.25806	547.0797489	-12926399.14	-2.979989436	-188576.7504	157.5200898	-1398987.356	50.27047251	-151.8316812	-587974.8146
UltraTech Cement	-15074.10798	547.7100634	-12943123.07	-2.985218727	-188818.9814	157.6884408	-1400788.787	50.31458055	-152.0475107	-588732.5495
Titan Company	-15095.95789	548.3403779	-12959847.01	-2.990448019	-189061.2123	157.8567918	-1402590.218	50.3586886	-152.2633402	-589490.2844
Adani Ports	-15117.8078	548.9706924	-12976570.95	-2.995677311	-189303.4432	158.0251429	-1404391.649	50.40279664	-152.4791697	-590248.0194
Power Grid Corporation	-15139.65771	549.601007	-12993294.89	-3.000906603	-189545.6742	158.1934939	-1406193.081	50.44690468	-152.6949993	-591005.7543
Coal India	-15161.50762	550.2313215	-13010018.83	-3.006135894	-189787.9051	158.3618449	-1407994.512	50.49101273	-152.9108288	-591763.4892
Tata Steel	-15183.35753	550.861636	-13026742.76	-3.011365186	-190030.1361	158.5301959	-1409795.943	50.53512077	-153.1266583	-592521.2241
JSW Steel	-15205.20744	551.4919505	-13043466.7	-3.016594478	-190272.367	158.6985469	-1411597.374	50.57922881	-153.3424879	-593278.959
HDFC Life Insurance	-15227.05735	552.1222651	-13060190.64	-3.02182377	-190514.5979	158.866898	-1413398.805	50.62333685	-153.5583174	-594036.6939
Tech Mahindra	-15248.90727	552.7525796	-13076914.58	-3.027053061	-190756.8289	159.035249	-1415200.236	50.6674449	-153.7741469	-594794.4288
SBI Life Insurance	-15270.75718	553.3828941	-13093638.51	-3.032282353	-190999.0598	159.2036	-1417001.667	50.71155294	-153.9899765	-595552.1638
Grasim Industries	-15292.60709	554.0132086	-13110362.45	-3.037511645	-191241.2908	159.371951	-1418803.098	50.75566098	-154.205806	-596309.8987
Wipro	-15314.457	554.6435232	-13127086.39	-3.042740936	-191483.5217	159.540302	-1420604.529	50.79976903	-154.4216355	-597067.6336
Divi's Laboratories	-15336.30691	555.2738377	-13143810.33	-3.047970228	-191725.7526	159.7086531	-1422405.96	50.84387707	-154.6374651	-597825.3685
Hero MotoCorp	-15358.15682	555.9041522	-13160534.26	-3.05319952	-191967.9836	159.8770041	-1424207.391	50.88798511	-154.8532946	-598583.1034
Cipla	-15380.00673	556.5344667	-13177258.2	-3.058428812	-192210.2145	160.0453551	-1426008.822	50.93209316	-155.0691241	-599340.8383
Britannia Industries	-15401.85664	557.1647813	-13193982.14	-3.063658103	-192452.4454	160.2137061	-1427810.253	50.9762012	-155.2849537	-600098.5733
Dabur India	-15423.70655	557.7950958	-13210706.08	-3.068887395	-192694.6764	160.3820571	-1429611.684	51.02030924	-155.5007832	-600856.3082
Adani Green Energy	-15445.55647	558.4254103	-13227430.02	-3.074116687	-192936.9073	160.5504082	-1431413.115	51.06441729	-155.7166127	-601614.0431
SBI Cards & Payment	-15467.40638	559.0557248	-13244153.95	-3.079345978	-193179.1383	160.7187592	-1433214.546	51.10852533	-155.9324423	-602371.778
Bajaj Finserv	-15489.25629	559.6860394	-13260877.89	-3.08457527	-193421.3692	160.8871102	-1435015.977	51.15263337	-156.1482718	-603129.5129
Ambuja Cements	-15511.1062	560.3163539	-13277601.83	-3.089804562	-193663.6001	161.0554612	-1436817.409	51.19674142	-156.3641013	-603887.2478
Dr. Reddy's Lab	-15532.95611	560.9466684	-13294325.77	-3.095033854	-193905.8311	161.2238122	-1438618.84	51.24084946	-156.5799309	-604644.9828
Vedanta	-15554.80602	561.576983	-13311049.7	-3.100263145	-194148.062	161.3921633	-1440420.271	51.2849575	-156.7957604	-605402.7177
Apollo Hospitals	-15576.65593	562.2072975	-13327773.64	-3.105492437	-194390.2929	161.5605143	-1442221.702	51.32906555	-157.0115899	-606160.4526
Bank of Baroda	-15598.50584	562.837612	-13344497.58	-3.110721729	-194632.5239	161.7288653	-1444023.133	51.37317359	-157.2274194	-606918.1875
Eicher Motors	-15620.35576	563.4679265	-13361221.52	-3.11595102	-194874.7548	161.8972163	-1445824.564	51.41728163	-157.443249	-607675.9224
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	-15642.20567	564.0982411	-13377945.45	-3.121180312	-195116.9858	162.0655673	-1447625.995	51.46138968	-157.6590785	-608433.6573
TCS	-15664.05558	564.7285556	-13394669.39	-3.126409604	-195359.2167	162.2339184	-1449427.426	51.50549772	-157.874908	-609191.3922
HDFC Bank	-15685.90549	565.3588701	-13411393.33	-3.131638896	-195601.4476	162.4022694	-1451228.857	51.54960576	-158.0907376	-609949.1272
Bharti Airtel	-15707.7554	565.9891846	-13428117.27	-3.136868187	-195843.6786	162.5706204	-1453030.288	51.59371381	-158.3065671	-610706.8621
ICICI Bank	-15729.60531	566.6194992	-13444841.2	-3.142097479	-196085.9095	162.7389714	-1454831.719	51.63782185	-158.5223966	-611464.597
St Bk of India	-15751.45522	567.2498137	-13461565.14	-3.147326771	-196328.1405	162.9073224	-1456633.15	51.68192989	-158.7382262	-612222.3319
Life Insurance	-15773.30513	567.8801282	-13478289.08	-3.152556062	-196570.3714	163.0756735	-1458434.581	51.72603794	-158.9540557	-612980.0668
Infosys	-15795.15504	568.5104427	-13495013.02	-3.157785354	-196812.6023	163.2440245	-1460236.012	51.77014598	-159.1698852	-613737.8017
Hind. Unilever	-15817.00496	569.1407573	-13511736.96	-3.163014646	-197054.8333	163.4123755	-1462037.443	51.81425402	-159.3857148	-614495.5367
ITC	-15838.85487	569.7710718	-13528460.89	-3.168243938	-197297.0642	163.5807265	-1463838.874	51.85836206	-159.6015443	-615253.2716
Larsen & Toubro	-15860.70478	570.4013863	-13545184.83	-3.173473229	-197539.2951	163.7490776	-1465640.305	51.90247011	-159.8173738	-616011.0065
Bajaj Finance	-15882.55469	571.0317008	-13561908.77	-3.178702521	-197781.5261	163.9174286	-1467441.737	51.94657815	-160.0332034	-616768.7414
Maruti Suzuki	-15904.4046	571.6620154	-13578632.71	-3.183931813	-198023.757	164.0857796	-1469243.168	51.99068619	-160.2490329	-617526.4763
HCL Technologies	-15926.25451	572.2923299	-13595356.64	-3.189161104	-198265.988	164.2541306	-1471044.599	52.03479424	-160.4648624	-618284.2112
Adani Enterprises	-15948.10442	572.9226444	-13612080.58	-3.194390396	-198508.2189	164.4224816	-1472846.03	52.07890228	-160.680692	-619041.9462
Hindustan Aeronautics	-15969.95433	573.5529589	-13628804.52	-3.199619688	-198750.4498	164.5908327	-1474647.461	52.12301032	-160.8965215	-619799.6811
M & M	-15991.80424	574.1832735	-13645528.46	-3.20484898	-198992.6808	164.7591837	-1476448.892	52.16711837	-161.112351	-620557.416
Axis Bank	-16013.65416	574.813588	-13662252.39	-3.210078271	-199234.9117	164.9275347	-1478250.323	52.21122641	-161.3281806	-621315.1509
Sun Pharma. Inds.	-16035.50407	575.4439025	-13678976.33	-3.215307563	-199477.1427	165.0958857	-1480051.754	52.25533445	-161.5440101	-622072.8858
Tata Motors	-16057.35398	576.074217	-13695700.27	-3.220536855	-199719.3736	165.2642367	-1481853.185	52.2994425	-161.7598396	-622830.6207
NTPC	-16079.20389	576.7045316	-13712424.21	-3.225766146	-199961.6045	165.4325878	-1483654.616	52.34355054	-161.9756691	-623588.3556
ONGC	-16101.0538	577.3348461	-13729148.15	-3.230995438	-200203.8355	165.6009388	-1485456.047	52.38765858	-162.1914987	-624346.0906
Kotak Mahindra Bank	-16122.90371	577.9651606	-13745872.08	-3.23622473	-200446.0664	165.7692898	-1487257.478	52.43176663	-162.4073282	-625103.8255
Avenue Supermarts	-16144.75362	578.5954752	-13762596.02	-3.241454022	-200688.2973	165.9376408	-1489058.909	52.47587467	-162.6231577	-625861.5604
UltraTech Cement	-16166.60353	579.2257897	-13779319.96	-3.246683313	-200930.5283	166.1059918	-1490860.34	52.51998271	-162.8389873	-626619.2953
Titan Company	-16188.45345	579.8561042	-13796043.9	-3.251912605	-201172.7592	166.2743429	-1492661.771	52.56409076	-163.0548168	-627377.0302
Adani Ports	-16210.30336	580.4864187	-13812767.83	-3.257141897	-201414.9902	166.4426939	-1494463.202	52.6081988	-163.2706463	-628134.7651
Power Grid Corporation	-16232.15327	581.1167333	-13829491.77	-3.262371188	-201657.2211	166.6110449	-1496264.633	52.65230684	-163.4864759	-628892.5001
Coal India	-16254.00318	581.7470478	-13846215.71	-3.26760048	-201899.452	166.7793959	-1498066.064	52.69641489	-163.7023054	-629650.235
Tata Steel	-16275.85309	582.3773623	-13862939.65	-3.272829772	-202141.683	166.9477469	-1499867.496	52.74052293	-163.9181349	-630407.9699
JSW Steel	-16297.703	583.0076768	-13879663.58	-3.278059064	-202383.9139	167.116098	-1501668.927	52.78463097	-164.1339645	-631165.7048
HDFC Life Insurance	-16319.55291	583.6379914	-13896387.52	-3.283288355	-202626.1448	167.284449	-1503470.358	52.82873902	-164.349794	-631923.4397
Tech Mahindra	-16341.40282	584.2683059	-13913111.46	-3.288517647	-202868.3758	167.4528	-1505271.789	52.87284706	-164.5656235	-632681.1746
SBI Life Insurance	-16363.25273	584.8986204	-13929835.4	-3.293746939	-203110.6067	167.621151	-1507073.22	52.9169551	-164.7814531	-633438.9096
Grasim Industries	-16385.10265	585.5289349	-13946559.34	-3.29897623	-203352.8377	167.789502	-1508874.651	52.96106315	-164.9972826	-634196.6445
Wipro	-16406.95256	586.1592495	-13963283.27	-3.304205522	-203595.0686	167.9578531	-1510676.082	53.00517119	-165.2131121	-634954.3794
Divi's Laboratories	-16428.80247	586.789564	-13980007.21	-3.309434814	-203837.2995	168.1262041	-1512477.513	53.04927923	-165.4289417	-635712.1143
Hero MotoCorp	-16450.65238	587.4198785	-13996731.15	-3.314664106	-204079.5305	168.2945551	-1514278.944	53.09338727	-165.6447712	-636469.8492
Cipla	-16472.50229	588.050193	-14013455.09	-3.319893397	-204321.7614	168.4629061	-1516080.375	53.13749532	-165.8606007	-637227.5841
Britannia Industries	-16494.3522	588.6805076	-14030179.02	-3.325122689	-204563.9924	168.6312571	-1517881.806	53.18160336	-166.0764303	-637985.319
Dabur India	-16516.20211	589.3108221	-14046902.96	-3.330351981	-204806.2233	168.7996082	-1519683.237	53.2257114	-166.2922598	-638743.054
Adani Green Energy	-16538.05202	589.9411366	-14063626.9	-3.335581273	-205048.4542	168.9679592	-1521484.668	53.26981945	-166.5080893	-639500.7889
SBI Cards & Payment	-16559.90194	590.5714511	-14080350.84	-3.340810564	-205290.6852	169.1363102	-1523286.099	53.31392749	-166.7239188	-640258.5238
Bajaj Finserv	-16581.75185	591.2017657	-14097074.77	-3.346039856	-205532.9161	169.3046612	-1525087.53	53.35803553	-166.9397484	-641016.2587
Ambuja Cements	-16603.60176	591.8320802	-14113798.71	-3.351269148	-205775.147	169.4730122	-1526888.961	53.40214358	-167.1555779	-641773.9936
Dr. Reddy's Lab	-16625.45167	592.4623947	-14130522.65	-3.356498439	-206017.378	169.6413633	-1528690.392	53.44625162	-167.3714074	-642531.7285
Vedanta	-16647.30158	593.0927092	-14147246.59	-3.361727731	-206259.6089	169.8097143	-1530491.824	53.49035966	-167.587237	-643289.4635
Apollo Hospitals	-16669.15149	593.7230238	-14163970.52	-3.366957023	-206501.8399	169.9780653	-1532293.255	53.53446771	-167.8030665	-644047.1984
Bank of Baroda	-16691.0014	594.3533383	-14180694.46	-3.372186315	-206744.0708	170.1464163	-1534094.686	53.57857575	-168.018896	-644804.9333
Eicher Motors	-16712.85131	594.9836528	-14197418.4	-3.377415606	-206986.3017	170.3147673	-1535896.117	53.62268379	-168.2347256	-645562.6682
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	-16734.70122	595.6139673	-14214142.34	-3.382644898	-207228.5327	170.4831184	-1537697.548	53.66679184	-168.4505551	-646320.4031
TCS	-16756.55114	596.2442819	-14230866.28	-3.38787419	-207470.7636	170.6514694	-1539498.979	53.71089988	-168.6663846	-647078.138
HDFC Bank	-16778.40105	596.8745964	-14247590.21	-3.393103481	-207712.9946	170.8198204	-1541300.41	53.75500792	-168.8822142	-647835.8729
Bharti Airtel	-16800.25096	597.5049109	-14264314.15	-3.398332773	-207955.2255	170.9881714	-1543101.841	53.79911597	-169.0980437	-648593.6079
ICICI Bank	-16822.10087	598.1352255	-14281038.09	-3.403562065	-208197.4564	171.1565224	-1544903.272	53.84322401	-169.3138732	-649351.3428
St Bk of India	-16843.95078	598.76554	-14297762.03	-3.408791357	-208439.6874	171.3248735	-1546704.703	53.88733205	-169.5297028	-650109.0777
Life Insurance	-16865.80069	599.3958545	-14314485.96	-3.414020648	-208681.9183	171.4932245	-1548506.134	53.9314401	-169.7455323	-650866.8126
Infosys	-16887.6506	600.026169	-14331209.9	-3.41924994	-208924.1492	171.6615755	-1550307.565	53.97554814	-169.9613618	-651624.5475
Hind. Unilever	-16909.50051	600.6564836	-14347933.84	-3.424479232	-209166.3802	171.8299265	-1552108.996	54.01965618	-170.1771914	-652382.2824
ITC	-16931.35042	601.2867981	-14364657.78	-3.429708523	-209408.6111	171.9982776	-1553910.427	54.06376423	-170.3930209	-653140.0174
Larsen & Toubro	-16953.20034	601.9171126	-14381381.71	-3.434937815	-209650.8421	172.1666286	-1555711.858	54.10787227	-170.6088504	-653897.7523
Bajaj Finance	-16975.05025	602.5474271	-14398105.65	-3.440167107	-209893.073	172.3349796	-1557513.289	54.15198031	-170.82468	-654655.4872
Maruti Suzuki	-16996.90016	603.1777417	-14414829.59	-3.445396399	-210135.3039	172.5033306	-1559314.72	54.19608836	-171.0405095	-655413.2221
HCL Technologies	-17018.75007	603.8080562	-14431553.53	-3.45062569	-210377.5349	172.6716816	-1561116.152	54.2401964	-171.256339	-656170.957
Adani Enterprises	-17040.59998	604.4383707	-14448277.47	-3.455854982	-210619.7658	172.8400327	-1562917.583	54.28430444	-171.4721685	-656928.6919
Hindustan Aeronautics	-17062.44989	605.0686852	-14465001.4	-3.461084274	-210861.9968	173.0083837	-1564719.014	54.32841248	-171.6879981	-657686.4269
M & M	-17084.2998	605.6989998	-14481725.34	-3.466313565	-211104.2277	173.1767347	-1566520.445	54.37252053	-171.9038276	-658444.1618
Axis Bank	-17106.14971	606.3293143	-14498449.28	-3.471542857	-211346.4586	173.3450857	-1568321.876	54.41662857	-172.1196571	-659201.8967
Sun Pharma. Inds.	-17127.99963	606.9596288	-14515173.22	-3.476772149	-211588.6896	173.5134367	-1570123.307	54.46073661	-172.3354867	-659959.6316
Tata Motors	-17149.84954	607.5899433	-14531897.15	-3.482001441	-211830.9205	173.6817878	-1571924.738	54.50484466	-172.5513162	-660717.3665
NTPC	-17171.69945	608.2202579	-14548621.09	-3.487230732	-212073.1514	173.8501388	-1573726.169	54.5489527	-172.7671457	-661475.1014
ONGC	-17193.54936	608.8505724	-14565345.03	-3.492460024	-212315.3824	174.0184898	-1575527.6	54.59306074	-172.9829753	-662232.8363
Kotak Mahindra Bank	-17215.39927	609.4808869	-14582068.97	-3.497689316	-212557.6133	174.1868408	-1577329.031	54.63716879	-173.1988048	-662990.5713
Avenue Supermarts	-17237.24918	610.1112014	-14598792.9	-3.502918607	-212799.8443	174.3551918	-1579130.462	54.68127683	-173.4146343	-663748.3062
UltraTech Cement	-17259.09909	610.741516	-14615516.84	-3.508147899	-213042.0752	174.5235429	-1580931.893	54.72538487	-173.6304639	-664506.0411
Titan Company	-17280.949	611.3718305	-14632240.78	-3.513377191	-213284.3061	174.6918939	-1582733.324	54.76949292	-173.8462934	-665263.776
Adani Ports	-17302.79891	612.002145	-14648964.72	-3.518606483	-213526.5371	174.8602449	-1584534.755	54.81360096	-174.0621229	-666021.5109
Power Grid Corporation	-17324.64883	612.6324595	-14665688.66	-3.523835774	-213768.768	175.0285959	-1586336.186	54.857709	-174.2779525	-666779.2458
Coal India	-17346.49874	613.2627741	-14682412.59	-3.529065066	-214010.9989	175.1969469	-1588137.617	54.90181705	-174.493782	-667536.9808
Tata Steel	-17368.34865	613.8930886	-14699136.53	-3.534294358	-214253.2299	175.365298	-1589939.048	54.94592509	-174.7096115	-668294.7157
JSW Steel	-17390.19856	614.5234031	-14715860.47	-3.539523649	-214495.4608	175.533649	-1591740.48	54.99003313	-174.9254411	-669052.4506
HDFC Life Insurance	-17412.04847	615.1537176	-14732584.41	-3.544752941	-214737.6918	175.702	-1593541.911	55.03414118	-175.1412706	-669810.1855
Tech Mahindra	-17433.89838	615.7840322	-14749308.34	-3.549982233	-214979.9227	175.870351	-1595343.342	55.07824922	-175.3571001	-670567.9204
SBI Life Insurance	-17455.74829	616.4143467	-14766032.28	-3.555211525	-215222.1536	176.038702	-1597144.773	55.12235726	-175.5729297	-671325.6553
Grasim Industries	-17477.5982	617.0446612	-14782756.22	-3.560440816	-215464.3846	176.2070531	-1598946.204	55.16646531	-175.7887592	-672083.3903
Wipro	-17499.44812	617.6749758	-14799480.16	-3.565670108	-215706.6155	176.3754041	-1600747.635	55.21057335	-176.0045887	-672841.1252
Divi's Laboratories	-17521.29803	618.3052903	-14816204.09	-3.5708994	-215948.8465	176.5437551	-1602549.066	55.25468139	-176.2204182	-673598.8601
Hero MotoCorp	-17543.14794	618.9356048	-14832928.03	-3.576128691	-216191.0774	176.7121061	-1604350.497	55.29878944	-176.4362478	-674356.595
Cipla	-17564.99785	619.5659193	-14849651.97	-3.581357983	-216433.3083	176.8804571	-1606151.928	55.34289748	-176.6520773	-675114.3299
Britannia Industries	-17586.84776	620.1962339	-14866375.91	-3.586587275	-216675.5393	177.0488082	-1607953.359	55.38700552	-176.8679068	-675872.0648
Dabur India	-17608.69767	620.8265484	-14883099.84	-3.591816567	-216917.7702	177.2171592	-1609754.79	55.43111357	-177.0837364	-676629.7997
Adani Green Energy	-17630.54758	621.4568629	-14899823.78	-3.597045858	-217160.0011	177.3855102	-1611556.221	55.47522161	-177.2995659	-677387.5347
SBI Cards & Payment	-17652.39749	622.0871774	-14916547.72	-3.60227515	-217402.2321	177.5538612	-1613357.652	55.51932965	-177.5153954	-678145.2696
Bajaj Finserv	-17674.2474	622.717492	-14933271.66	-3.607504442	-217644.463	177.7222122	-1615159.083	55.5634377	-177.731225	-678903.0045
Ambuja Cements	-17696.09732	623.3478065	-14949995.6	-3.612733733	-217886.694	177.8905633	-1616960.514	55.60754574	-177.9470545	-679660.7394
Dr. Reddy's Lab	-17717.94723	623.978121	-14966719.53	-3.617963025	-218128.9249	178.0589143	-1618761.945	55.65165378	-178.162884	-680418.4743
Vedanta	-17739.79714	624.6084355	-14983443.47	-3.623192317	-218371.1558	178.2272653	-1620563.376	55.69576182	-178.3787136	-681176.2092
Apollo Hospitals	-17761.64705	625.2387501	-15000167.41	-3.628421609	-218613.3868	178.3956163	-1622364.808	55.73986987	-178.5945431	-681933.9442
Bank of Baroda	-17783.49696	625.8690646	-15016891.35	-3.6336509	-218855.6177	178.5639673	-1624166.239	55.78397791	-178.8103726	-682691.6791
Eicher Motors	-17805.34687	626.4993791	-15033615.28	-3.638880192	-219097.8487	178.7323184	-1625967.67	55.82808595	-179.0262022	-683449.414
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
